period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2021-05,20,1,1,0,107,0,51,56,107,0,0,7,11,0,-2713.44,-150.75,-79839.22,-4435.51,920160.79,2021-05-25,2353.14,69322.63,2021-05-21,-4533.49,-111405.05,2,4,7263.07,178443.38,16.6042
2021-06,30,1,0,0,207,0,106,101,207,0,0,11,18,0,5163.29,178.04,145617.46,5021.29,1065778.16,2021-06-10,3245.70,100491.73,2021-06-11,-2032.05,-55087.30,3,5,2980.92,82459.73,8.6262
2021-07,31,1,0,0,216,0,112,104,216,0,0,15,15,0,4773.07,159.10,158656.99,5288.57,1224435.20,2021-07-26,3372.70,98034.99,2021-07-29,-2093.36,-52613.12,3,3,3097.28,76607.93,5.9913
2021-08,31,3,0,0,177,0,91,86,177,0,0,13,15,0,5250.88,187.53,135065.81,4823.78,1359500.96,2021-08-07,2510.23,65035.28,2021-08-01,-904.43,-21705.61,4,3,2119.07,43705.03,3.1147
2021-09,30,3,0,0,252,0,123,129,252,0,0,10,17,0,-3197.09,-118.41,-82891.38,-3070.05,1276609.59,2021-09-08,3659.45,68770.80,2021-09-25,-2673.36,-62886.89,3,4,5346.26,123276.57,8.8923
2021-10,31,3,0,0,264,0,133,131,264,0,0,10,18,0,-2325.21,-83.04,-9420.16,-336.43,1267189.44,2021-10-02,3658.07,85219.10,2021-10-17,-2417.04,-39651.37,2,5,9844.02,166573.03,11.9131
2021-11,30,4,0,0,207,1,96,111,206,1,0,9,17,0,1621.59,62.37,28698.67,1103.80,1295888.16,2021-11-09,5174.97,85752.69,2021-11-21,-2427.62,-41111.04,2,6,5753.82,93123.31,7.3488
2021-12,31,3,0,0,255,0,139,116,255,0,0,14,14,0,-2281.98,-81.50,-58049.33,-2073.19,1237838.84,2021-12-04,6864.96,121763.68,2021-12-06,-2629.50,-53898.57,3,3,8002.94,168159.23,12.5144
2022-01,31,2,0,0,275,0,142,133,275,0,0,10,19,0,-6468.05,-223.04,-156052.68,-5381.13,1081786.15,2022-01-22,5696.32,137862.83,2022-01-23,-1678.82,-47597.78,3,5,9347.73,216893.55,17.5220
2022-02,28,3,0,0,252,0,129,123,252,0,0,11,14,0,827.41,33.10,43321.27,1732.85,1125107.38,2022-02-05,4630.47,125146.41,2022-02-06,-1831.22,-44063.36,3,3,7365.25,169871.72,13.6404
2022-03,31,3,0,0,315,0,168,147,315,0,0,10,18,0,-859.61,-30.70,-12006.18,-428.79,1113101.21,2022-03-05,4141.18,95351.53,2022-03-08,-2405.11,-62516.78,2,4,6998.11,166972.08,13.0439
2022-04,30,4,0,0,205,0,115,90,205,0,0,13,13,0,3498.09,134.54,74017.25,2846.82,1187118.51,2022-04-23,1844.22,44328.79,2022-04-24,-1351.37,-34100.35,2,3,2638.08,65618.72,5.5909
2022-05,31,4,0,0,247,0,140,107,247,0,0,14,13,0,-7.15,-0.26,-39881.99,-1477.11,1147236.56,2022-05-06,3013.63,76488.10,2022-05-11,-4901.81,-161026.67,3,5,6287.36,212131.53,16.4714
2022-06,30,3,0,0,181,0,79,102,181,0,0,11,16,0,4448.43,164.76,140915.84,5219.11,1288152.44,2022-06-14,3327.23,114101.15,2022-06-15,-763.98,-37891.75,3,8,2560.79,121992.08,8.7815
2022-07,31,1,0,0,218,0,115,103,218,0,0,14,16,0,-922.63,-30.75,-43323.24,-1444.11,1244829.20,2022-07-28,1495.89,70887.87,2022-07-01,-1403.42,-72884.49,3,4,2712.18,132206.53,10.2633
2022-08,31,2,0,0,248,0,120,128,248,0,0,9,20,0,-15.32,-0.53,-11535.49,-397.78,1233293.72,2022-08-20,1744.57,73187.39,2022-08-02,-906.08,-39049.33,3,6,1919.98,89686.94,6.8284
2022-09,30,2,0,0,233,0,135,98,233,0,0,8,20,0,-833.60,-29.77,-41548.72,-1483.88,1191744.94,2022-09-10,1687.45,88715.33,2022-09-15,-814.33,-40428.34,2,4,2577.34,133099.27,10.1106
2022-10,31,3,0,0,251,0,126,125,251,0,0,13,15,0,366.42,13.09,19232.59,686.88,1210977.48,2022-10-27,1263.61,65444.14,2022-10-03,-457.17,-23817.59,3,6,1364.40,69564.76,5.7964
2022-11,30,2,0,0,262,0,133,129,262,0,0,11,17,0,607.96,21.71,12402.18,442.93,1223379.58,2022-11-10,3123.99,158153.52,2022-11-11,-1424.49,-82422.60,3,4,2785.94,165081.39,12.2128
2022-12,31,2,0,0,310,0,149,161,310,0,0,12,17,0,-51.64,-1.78,-5556.54,-191.60,1217823.05,2022-12-17,680.91,38840.77,2022-12-02,-296.10,-17485.83,4,7,1300.00,77531.34,5.9853
2023-01,31,3,0,0,245,0,129,116,245,0,0,11,17,0,2233.21,79.76,142507.10,5089.54,1360330.14,2023-01-15,3157.38,182321.68,2023-01-27,-820.00,-35601.63,2,3,2355.18,102650.02,7.1690
2023-02,28,3,0,0,174,0,77,97,174,0,0,11,14,0,2921.82,116.87,127755.64,5110.23,1488085.77,2023-02-16,2190.89,99004.40,2023-02-07,-710.52,-30805.13,4,3,976.04,42561.70,3.1288
2023-03,31,3,0,0,243,1,122,121,242,1,0,12,16,0,4109.75,146.78,206112.20,7361.15,1694197.99,2023-03-14,3396.57,170978.11,2023-03-15,-974.98,-39147.33,3,4,1908.63,68302.29,4.0003
2023-04,30,1,0,0,238,0,121,117,238,0,0,10,19,0,-1725.96,-59.52,-62991.12,-2172.11,1631206.91,2023-04-11,1761.43,62350.97,2023-04-27,-2793.17,-97411.56,4,4,4129.57,143835.77,8.1032
2023-05,31,4,0,0,217,1,118,99,216,1,0,13,14,0,1417.77,52.51,49634.63,1838.32,1680841.52,2023-05-12,1118.30,40456.04,2023-05-10,-988.26,-36066.56,4,3,1468.03,53371.15,3.2070
2023-06,30,1,0,0,257,0,139,118,257,0,0,10,19,0,1063.52,36.67,51269.64,1767.92,1732111.17,2023-06-22,2218.16,86605.72,2023-06-01,-560.80,-20747.11,3,4,1794.41,69519.03,4.0452
2023-07,31,1,0,0,256,0,144,112,256,0,0,9,21,0,-991.60,-33.05,-34567.57,-1152.25,1697543.56,2023-07-15,883.32,28220.93,2023-07-02,-442.51,-14499.27,4,8,1614.65,53712.98,3.0717
2023-08,31,3,0,0,231,0,121,110,231,0,0,11,17,0,2700.10,96.43,89409.90,3193.21,1786953.45,2023-08-19,3109.96,106563.05,2023-08-21,-433.42,-16679.16,3,5,970.47,37367.85,2.0635
2023-09,30,1,0,0,306,0,141,165,306,0,0,6,23,0,-2768.10,-95.45,-106526.66,-3673.33,1680426.81,2023-09-02,1282.79,47038.73,2023-09-20,-678.01,-25032.56,1,6,4258.21,161663.54,8.8148
2023-10,31,3,0,0,244,0,123,121,244,0,0,9,19,0,417.70,14.92,30317.67,1082.77,1710744.48,2023-10-24,2147.43,74983.57,2023-10-25,-1029.59,-30197.31,3,7,2351.64,68814.92,3.8670
2023-11,30,0,0,0,265,0,138,127,265,0,0,11,19,0,-2779.88,-92.66,-76406.41,-2546.88,1634338.10,2023-11-16,1109.17,31091.55,2023-11-01,-1404.64,-40720.53,3,6,3249.62,90410.66,5.2849
2023-12,31,2,0,0,204,0,101,103,204,0,0,17,12,0,5001.37,172.46,127144.86,4384.31,1761483.02,2023-12-05,2080.66,52709.28,2023-12-10,-643.86,-14683.66,4,3,1298.45,29362.36,1.6616
2024-01,31,2,0,0,296,0,147,149,296,0,0,9,20,0,-380.91,-13.13,-9567.28,-329.91,1751915.81,2024-01-13,2628.77,55801.91,2024-01-11,-1441.73,-31184.64,2,5,3650.19,85641.81,4.7096
2024-02,29,3,0,0,212,1,106,106,211,1,0,8,18,0,7882.67,303.18,161238.64,6201.49,1913154.45,2024-02-29,9703.54,189678.21,2024-02-22,-2074.98,-40236.17,2,7,4939.86,95393.74,5.2690
2024-03,31,2,0,0,213,0,109,104,213,0,0,11,18,0,1329.29,45.84,23404.51,807.05,1936558.93,2024-03-26,4417.17,68931.58,2024-03-20,-2045.17,-32896.22,2,4,4676.31,67526.05,3.5114
2024-04,30,0,0,0,235,0,117,118,235,0,0,11,19,0,-6789.70,-226.32,-111689.07,-3722.97,1824869.77,2024-04-25,2196.97,33079.71,2024-04-14,-2786.82,-43696.65,2,4,9663.91,149952.82,7.6013
2024-05,31,1,0,0,206,1,107,99,205,1,0,17,13,0,11990.84,399.69,195399.06,6513.30,2020268.83,2024-05-16,3875.28,62626.67,2024-05-07,-1640.10,-25672.58,4,2,2280.69,35694.56,1.8402
2024-06,30,1,0,0,232,0,126,106,232,0,0,10,19,0,-3039.88,-104.82,-43770.10,-1509.31,1976498.73,2024-06-25,2481.08,38050.15,2024-06-19,-1641.13,-25190.49,3,5,5998.25,89226.38,4.4166
2024-07,31,6,0,0,186,0,101,85,186,0,0,13,12,0,7249.91,290.00,125882.37,5035.29,2102381.08,2024-07-04,3642.91,57869.64,2024-07-21,-1972.60,-29396.28,4,5,4125.38,61867.31,2.9065
2024-08,31,1,0,0,217,0,115,102,217,0,0,15,15,0,4261.33,142.04,64308.15,2143.61,2166689.25,2024-08-28,3828.67,59036.25,2024-08-02,-2627.86,-40815.40,5,3,4886.52,83599.97,3.8018
2024-09,30,3,0,0,209,0,96,113,209,0,0,12,15,0,406.68,15.06,10510.82,389.29,2177200.05,2024-09-28,2040.65,32254.33,2024-09-23,-1764.02,-27711.11,3,4,3485.15,55030.45,2.4875
2024-10,31,3,0,0,221,1,111,110,220,1,0,12,16,0,3269.85,116.78,52812.06,1886.15,2230012.13,2024-10-30,2722.22,41573.17,2024-10-03,-1397.09,-22880.31,2,4,2822.68,45526.60,2.0625
2024-11,30,2,0,0,243,0,118,125,243,0,0,11,17,0,2842.02,101.50,57104.19,2039.44,2287116.35,2024-11-07,5359.48,79784.80,2024-11-18,-2825.49,-31175.05,3,8,9822.02,108926.60,4.6555
2024-12,31,1,0,0,244,0,120,124,244,0,0,11,19,0,-3223.95,-107.46,-37403.78,-1246.79,2249712.53,2024-12-05,4616.74,47902.00,2024-12-31,-2430.78,-26148.37,4,5,7073.17,71326.65,3.1133
2025-01,31,4,0,0,234,0,120,114,234,0,0,9,18,0,-6672.54,-247.13,-57898.25,-2144.38,2191814.24,2025-01-09,6735.41,66815.91,2025-01-23,-3937.32,-37536.73,3,4,15101.43,142359.12,6.0989
2025-02,28,3,0,0,188,0,93,95,188,0,0,9,16,0,5400.10,216.00,54310.82,2172.43,2246125.00,2025-02-03,5977.43,58608.67,2025-02-24,-2362.96,-24676.15,2,8,9139.45,93681.88,4.1332
2025-03,31,2,0,0,247,0,125,122,247,0,0,11,18,0,-4577.27,-157.84,-54642.96,-1884.24,2191482.03,2025-03-03,6095.75,70554.95,2025-03-07,-8323.05,-94071.11,4,4,19240.76,221769.38,9.2825
2025-04,30,1,0,0,242,0,128,114,242,0,0,11,18,0,-5464.13,-188.42,-54404.49,-1876.02,2137077.60,2025-04-10,3348.53,43745.27,2025-04-04,-4187.26,-50635.17,2,4,9779.10,109125.79,4.8582
2025-05,31,3,0,0,217,0,111,106,217,0,0,10,18,0,796.74,28.45,9977.33,356.33,2147054.86,2025-05-09,4709.11,49250.89,2025-05-12,-2415.75,-23193.46,4,8,11005.97,105631.84,4.8265
2025-06,30,3,0,0,240,0,127,113,240,0,0,9,18,0,-4776.21,-176.90,-43612.60,-1615.28,2103442.34,2025-06-26,4280.49,42422.49,2025-06-19,-2525.08,-24092.38,3,5,6355.45,60864.36,2.8348
2025-07,31,1,0,0,231,0,129,102,231,0,0,13,17,0,1268.47,42.28,17591.67,586.39,2121033.98,2025-07-11,6335.26,57156.80,2025-07-30,-2703.94,-22894.72,3,8,12747.14,107540.84,4.8255
2025-08,31,2,0,0,220,0,109,111,220,0,0,12,17,0,3224.31,111.18,25407.57,876.12,2146441.48,2025-08-03,4483.48,38084.00,2025-08-20,-2193.75,-19443.07,2,4,6141.74,53906.72,2.4753
2025-09,30,2,0,0,204,0,114,90,204,0,0,12,16,0,2064.52,73.73,18140.28,647.87,2164581.74,2025-09-30,3735.18,34244.97,2025-09-01,-2337.36,-21462.75,2,3,5544.48,49017.36,2.2837
2025-10,31,4,0,0,201,1,114,87,200,1,0,13,14,0,12845.57,475.76,111737.40,4138.42,2276319.13,2025-10-12,7728.78,63302.58,2025-10-13,-2303.89,-19788.46,5,4,6264.07,55308.25,2.4453
2025-11,30,2,0,0,246,0,132,114,246,0,0,10,18,0,2771.98,99.00,17874.89,638.39,2294193.96,2025-11-21,5067.03,55069.36,2025-11-22,-4320.62,-51234.46,2,3,7207.20,83671.64,3.5410
2025-12,31,3,0,0,188,0,98,90,188,0,0,18,10,0,6791.57,242.56,74771.43,2670.41,2368965.33,2025-12-03,4736.34,55312.21,2025-12-17,-3060.79,-34349.71,8,4,7870.11,89671.44,3.6763
2026-01,31,4,0,0,229,0,111,118,229,0,0,10,17,0,-2100.92,-77.81,-27615.14,-1022.78,2341350.17,2026-01-30,3174.84,33284.16,2026-01-23,-3294.08,-36777.37,2,6,6888.41,78486.02,3.2803
2026-02,28,5,0,0,182,0,84,98,182,0,0,9,14,0,12139.52,527.81,147999.37,6434.76,2489349.57,2026-02-06,12276.35,156406.36,2026-02-11,-2644.41,-39291.00,2,6,12729.07,184256.69,7.2265
2026-03,31,5,0,0,212,0,112,100,212,0,0,12,14,0,7026.09,270.23,95066.92,3656.42,2584416.54,2026-03-28,4352.82,61342.23,2026-03-31,-1924.17,-28740.32,4,3,3886.94,57589.44,2.3068
2026-04,30,1,0,0,222,0,99,123,222,0,0,10,19,0,-1983.81,-68.41,-23643.11,-815.28,2560773.42,2026-04-14,2174.03,30579.65,2026-04-03,-1742.50,-26113.58,2,8,5362.05,69909.92,2.6718
2026-05,10,1,0,0,50,1,26,24,48,1,1,4,5,0,2382.50,264.72,31067.35,3451.93,2591840.77,2026-05-02,2111.08,27795.38,2026-05-06,-1213.38,-14922.23,2,3,1257.97,15908.04,0.6113
