market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,quantity,notional,slippage_points,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles
derivatives,CNXAUTO_data_1h,2026-04-21,OPEN_EQUALS_LOW,LONG,2026-04-21T09:15:00+05:30,26511.099609,26703.099609,26496.449219,26698.0,0.0,0.1869,2026-04-21T10:15:00+05:30,26708.900391,2026-04-21T11:15:00+05:30,26711.800781,26505.797389,27123.807565,2026-04-21T15:15:00+05:30,26623.699219,END_OF_DAY,37,988336.63,5.0,-3259.76,604.45,-3864.21,-0.391,-0.495,5
derivatives,CNXAUTO_data_1h,2026-04-23,OPEN_EQUALS_HIGH,SHORT,2026-04-23T09:15:00+05:30,26276.199219,26276.199219,26078.400391,26090.949219,0.0,-0.7048,2026-04-23T10:15:00+05:30,25925.550781,2026-04-23T11:15:00+05:30,25921.449219,26281.454459,25201.438739,2026-04-23T15:15:00+05:30,25852.949219,END_OF_DAY,27,699879.13,5.0,1849.5,442.05,1407.45,0.2011,0.1428,5
derivatives,CNXAUTO_data_1h,2026-04-27,OPEN_EQUALS_LOW,LONG,2026-04-27T09:15:00+05:30,25803.050781,25960.699219,25792.349609,25879.699219,0.0,0.4485,2026-04-27T11:15:00+05:30,25962.199219,2026-04-27T12:15:00+05:30,25967.900391,25797.890171,26307.92083,2026-04-27T15:15:00+05:30,26071.300781,END_OF_DAY,38,986780.21,5.0,3929.21,607.33,3321.88,0.3366,0.4995,4
derivatives,CNXFMCG_data_1h,2026-04-17,OPEN_EQUALS_LOW,LONG,2026-04-17T09:15:00+05:30,48400.550781,49427.800781,48392.800781,49424.851562,0.0,-0.0891,2026-04-17T10:15:00+05:30,49524.25,2026-04-17T11:15:00+05:30,49526.351562,48390.870671,51797.313345,2026-04-17T15:15:00+05:30,49662.449219,END_OF_DAY,8,396210.81,5.0,1088.78,271.85,816.93,0.2062,0.0895,5
derivatives,CNXFMCG_data_1h,2026-04-24,OPEN_EQUALS_HIGH,SHORT,2026-04-24T09:15:00+05:30,51383.300781,51383.300781,50901.5,50928.949219,0.0,0.6668,2026-04-24T10:15:00+05:30,50786.050781,2026-04-24T11:15:00+05:30,50781.050781,51393.577441,49555.997461,2026-04-24T15:15:00+05:30,50730.0,END_OF_DAY,16,812496.81,5.0,816.81,506.28,310.53,0.0382,0.0314,5
derivatives,CNXFMCG_data_1h,2026-04-29,OPEN_EQUALS_LOW,LONG,2026-04-29T09:15:00+05:30,51065.300781,51609.601562,51040.300781,51484.550781,0.0,0.3477,2026-04-29T11:15:00+05:30,51844.949219,2026-04-29T12:15:00+05:30,51855.851562,51055.087721,53457.379245,2026-04-29T15:15:00+05:30,51761.550781,END_OF_DAY,12,622270.22,5.0,-1131.61,398.53,-1530.14,-0.2459,-0.1582,4
derivatives,CNXIT_data_1h,2026-04-22,OPEN_EQUALS_HIGH,SHORT,2026-04-22T09:15:00+05:30,31050.349609,31050.349609,30659.099609,30671.449219,0.0,-2.1944,2026-04-22T10:15:00+05:30,30461.849609,2026-04-22T11:15:00+05:30,30454.449219,31056.559679,29250.228298,2026-04-22T15:15:00+05:30,30508.25,END_OF_DAY,16,487271.19,5.0,-860.81,323.23,-1184.04,-0.243,-0.1219,5
derivatives,CNXIT_data_1h,2026-04-27,OPEN_EQUALS_LOW,LONG,2026-04-27T09:15:00+05:30,28633.099609,29111.099609,28633.099609,29040.449219,0.0,0.2540,2026-04-27T13:15:00+05:30,29169.099609,2026-04-27T14:15:00+05:30,29173.449219,28627.372989,30265.601677,2026-04-27T15:15:00+05:30,29193.300781,END_OF_DAY,18,525122.09,5.0,357.33,344.37,12.96,0.0025,0.0013,2
derivatives,NSEBANK_data_1h,2026-04-10,OPEN_EQUALS_LOW,LONG,2026-04-10T09:15:00+05:30,55193.550781,55859.449219,55180.800781,55849.148438,0.0,,2026-04-10T13:15:00+05:30,55881.648438,2026-04-10T14:15:00+05:30,55890.5,55182.512071,57306.475858,2026-04-10T15:15:00+05:30,55924.398438,END_OF_DAY,14,782467.0,5.0,474.58,489.97,-15.39,-0.002,-0.0015,2
derivatives,NSEI_data_1h,2026-04-10,OPEN_EQUALS_LOW,LONG,2026-04-10T09:15:00+05:30,23880.550781,24001.25,23867.199219,23994.400391,0.0,,2026-04-10T10:15:00+05:30,24013.300781,2026-04-10T11:15:00+05:30,24017.050781,23875.774671,24299.603002,2026-04-10T15:15:00+05:30,24046.800781,END_OF_DAY,41,984699.08,5.0,1219.75,604.73,615.02,0.0625,0.1025,5
derivatives,NSEI_data_1h,2026-04-16,OPEN_EQUALS_HIGH,SHORT,2026-04-16T09:15:00+05:30,24380.25,24400.099609,24266.5,24307.599609,0.0,0.6953,2026-04-16T11:15:00+05:30,24184.800781,2026-04-16T12:15:00+05:30,24177.949219,24385.12605,23763.595556,2026-04-16T15:15:00+05:30,24193.400391,END_OF_DAY,41,991295.92,5.0,-633.5,608.16,-1241.66,-0.1253,-0.1427,4
derivatives,NSEI_data_1h,2026-04-21,OPEN_EQUALS_LOW,LONG,2026-04-21T09:15:00+05:30,24374.550781,24524.650391,24357.150391,24513.150391,0.0,0.1794,2026-04-21T10:15:00+05:30,24557.449219,2026-04-21T11:15:00+05:30,24561.449219,24369.675871,24944.995914,2026-04-21T15:15:00+05:30,24576.050781,END_OF_DAY,40,982457.97,5.0,584.06,603.13,-19.07,-0.0019,-0.0024,5
derivatives,NSEI_data_1h,2026-04-27,OPEN_EQUALS_LOW,LONG,2026-04-27T09:15:00+05:30,23965.349609,24107.349609,23952.0,24063.300781,0.0,0.2569,2026-04-27T13:15:00+05:30,24122.199219,2026-04-27T14:15:00+05:30,24127.099609,23960.556539,24460.185749,2026-04-27T15:15:00+05:30,24105.199219,END_OF_DAY,41,989211.08,5.0,-897.92,606.18,-1504.1,-0.1521,-0.2139,2
