rank_type,rank,market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,quantity,notional,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles
BEST,1,equity,TCS_NS,2026-04-02,OPEN_EQUALS_LOW,LONG,2026-04-02T09:15:00+05:30,2381.100098,2398.0,2381.100098,2392.0,0.0,-1.2975,2026-04-02T09:20:00+05:30,2404.300049,2026-04-02T09:25:00+05:30,2404.4808,2380.623878,2452.194645,2026-04-02T13:35:00+05:30,2451.704206,TARGET,41,98583.71,1936.16,59.73,1876.43,1.9034,1.8808,51
BEST,2,equity,INFY_NS,2026-04-02,OPEN_EQUALS_LOW,LONG,2026-04-02T09:15:00+05:30,1260.300049,1272.0,1260.300049,1269.0,0.0,-1.3850,2026-04-02T09:20:00+05:30,1274.400024,2026-04-02T09:25:00+05:30,1274.554909,1260.047989,1303.568749,2026-04-02T15:10:00+05:30,1303.308035,TARGET,67,85395.18,1926.46,51.82,1874.64,2.1953,1.8958,70
BEST,3,commodities,CLF,2026-04-14,OPEN_EQUALS_HIGH,SHORT,2026-04-14T09:15:00-04:00,96.080002,96.129997,95.330002,95.529999,2368.0,-1.6179,2026-04-14T09:40:00-04:00,95.209999,2026-04-14T09:45:00-04:00,95.200957,96.099218,93.404436,2026-04-14T10:05:00-04:00,93.423117,TARGET,1050,99961.01,1866.73,59.42,1807.32,1.808,1.8761,5
BEST,4,equity,BHARTIARTL_NS,2026-04-16,OPEN_EQUALS_HIGH,SHORT,2026-04-16T09:15:00+05:30,1864.300049,1864.300049,1853.099976,1854.199951,0.0,0.5501,2026-04-16T09:35:00+05:30,1853.0,2026-04-16T09:40:00+05:30,1852.729356,1864.672909,1828.842249,2026-04-16T13:05:00+05:30,1829.208018,TARGET,53,98194.66,1246.63,58.54,1188.09,1.2099,1.8201,42
BEST,5,equity,ICICIBANK_NS,2026-04-10,OPEN_EQUALS_LOW,LONG,2026-04-10T09:15:00+05:30,1288.5,1301.400024,1288.5,1301.300049,0.0,0.4757,2026-04-10T09:25:00+05:30,1302.5,2026-04-10T09:30:00+05:30,1303.060609,1288.2423,1332.697227,2026-04-10T15:20:00+05:30,1321.335656,END_OF_DAY,66,86002.0,1206.15,51.96,1154.19,1.3421,1.16,71
BEST,6,equity,RELIANCE_NS,2026-04-27,OPEN_EQUALS_LOW,LONG,2026-04-27T09:15:00+05:30,1312.300049,1330.900024,1311.099976,1328.5,0.0,-1.2417,2026-04-27T09:50:00+05:30,1336.900024,2026-04-27T09:55:00+05:30,1337.067409,1312.037589,1387.127049,2026-04-27T15:20:00+05:30,1365.526889,END_OF_DAY,39,52145.63,1109.92,31.62,1078.3,2.0679,1.0932,66
BEST,7,commodities,SIF,2026-04-07,OPEN_EQUALS_HIGH,SHORT,2026-04-07T09:15:00-04:00,72.245003,72.269997,72.040001,72.084999,78.0,-1.1020,2026-04-07T09:30:00-04:00,71.940002,2026-04-07T09:35:00-04:00,71.855629,72.259452,71.047983,2026-04-07T10:00:00-04:00,71.062192,TARGET,1391,99951.18,1103.67,59.64,1044.03,1.0445,1.7944,6
BEST,8,equity,ITC_NS,2026-04-29,OPEN_EQUALS_LOW,LONG,2026-04-29T09:15:00+05:30,305.600006,308.0,305.399994,307.25,493351.0,0.4107,2026-04-29T09:20:00+05:30,309.950012,2026-04-29T09:25:00+05:30,309.81195,305.538886,318.358078,2026-04-29T12:15:00+05:30,314.337114,END_OF_DAY,230,71256.75,1040.79,43.07,997.72,1.4002,1.0009,35
BEST,9,commodities,NGF,2026-04-24,OPEN_EQUALS_HIGH,SHORT,2026-04-24T09:15:00-04:00,2.693,2.695,2.684,2.687,1068.0,-1.8586,2026-04-24T09:30:00-04:00,2.681,2026-04-24T09:35:00-04:00,2.679464,2.693539,2.651315,2026-04-24T11:45:00-04:00,2.651845,TARGET,37320,99997.6,1030.74,59.69,971.05,0.9711,1.7805,27
BEST,10,commodities,CLF,2026-04-28,OPEN_EQUALS_HIGH,SHORT,2026-04-28T09:15:00-04:00,100.330002,100.389999,100.010002,100.080002,1996.0,4.2931,2026-04-28T09:20:00-04:00,99.849998,2026-04-28T09:25:00-04:00,99.830028,100.350068,98.78995,2026-04-28T09:50:00-04:00,98.809708,TARGET,1001,99929.86,1021.34,59.65,961.69,0.9624,1.7788,6
WORST,1,equity,ICICIBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,1213.199951,1213.199951,1202.900024,1207.599976,0.0,-0.2467,2026-04-06T09:25:00+05:30,1201.599976,2026-04-06T09:30:00+05:30,1201.2597,1213.442591,1176.893918,2026-04-06T11:45:00+05:30,1213.68528,STOP_LOSS,80,96100.78,-994.05,57.96,-1052.01,-1.0947,-1.0583,28
WORST,2,commodities,CLF,2026-04-17,OPEN_EQUALS_LOW,LONG,2026-04-17T09:15:00-04:00,81.059998,81.800003,81.059998,81.32,6474.0,-10.3219,2026-04-17T09:25:00-04:00,82.099998,2026-04-17T09:30:00-04:00,82.116418,81.043786,84.261684,2026-04-17T10:15:00-04:00,81.027577,STOP_LOSS,918,75382.87,-999.56,44.93,-1044.49,-1.3856,-1.0449,10
WORST,3,equity,HDFCBANK_NS,2026-04-01,OPEN_EQUALS_LOW,LONG,2026-04-01T09:15:00+05:30,744.299988,752.150024,744.299988,752.049988,0.0,1.1002,2026-04-01T09:20:00+05:30,754.299988,2026-04-01T09:25:00+05:30,754.100802,744.151128,774.000151,2026-04-01T10:20:00+05:30,744.002298,STOP_LOSS,99,74655.98,-999.75,44.49,-1044.25,-1.3987,-1.0445,12
WORST,4,commodities,CLF,2026-04-02,OPEN_EQUALS_HIGH,SHORT,2026-04-02T09:15:00-04:00,113.389999,113.440002,112.540001,113.110001,4723.0,13.6856,2026-04-02T09:30:00-04:00,111.900002,2026-04-02T09:35:00-04:00,111.897614,113.412677,108.867488,2026-04-02T09:40:00-04:00,113.43536,STOP_LOSS,650,72733.45,-999.53,43.94,-1043.47,-1.4347,-1.044,2
WORST,5,equity,ICICIBANK_NS,2026-04-21,OPEN_EQUALS_LOW,LONG,2026-04-21T09:15:00+05:30,1362.800049,1375.0,1362.199951,1375.0,0.0,0.6722,2026-04-21T10:30:00+05:30,1377.199951,2026-04-21T10:35:00+05:30,1377.475391,1362.527489,1407.371196,2026-04-21T12:05:00+05:30,1362.254983,STOP_LOSS,65,89535.9,-989.33,53.42,-1042.75,-1.1646,-1.054,19
WORST,6,equity,INFY_NS,2026-04-09,OPEN_EQUALS_HIGH,SHORT,2026-04-09T09:15:00+05:30,1329.900024,1329.900024,1316.099976,1321.599976,0.0,-1.2035,2026-04-09T09:40:00+05:30,1315.199951,2026-04-09T09:45:00+05:30,1314.737,1330.166004,1283.878991,2026-04-09T12:55:00+05:30,1330.432038,STOP_LOSS,63,82828.43,-988.79,49.99,-1038.78,-1.2541,-1.0506,39
WORST,7,equity,HDFCBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,760.0,760.0,746.200012,750.299988,0.0,1.3604,2026-04-06T09:40:00+05:30,746.049988,2026-04-06T09:45:00+05:30,745.8508,760.152,717.2484,2026-04-06T12:25:00+05:30,760.30403,STOP_LOSS,69,51463.71,-997.27,31.18,-1028.45,-1.9984,-1.0313,33
WORST,8,equity,INFY_NS,2026-04-15,OPEN_EQUALS_LOW,LONG,2026-04-15T09:15:00+05:30,1302.599976,1314.0,1302.099976,1313.400024,0.0,2.0447,2026-04-15T09:20:00+05:30,1320.5,2026-04-15T09:25:00+05:30,1320.264,1302.339456,1356.113089,2026-04-15T11:35:00+05:30,1302.078988,STOP_LOSS,54,71294.26,-981.99,42.48,-1024.47,-1.437,-1.0433,27
WORST,9,equity,KOTAKBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,358.0,358.0,351.649994,351.700012,0.0,0.1539,2026-04-06T09:20:00+05:30,350.549988,2026-04-06T09:25:00+05:30,350.479878,358.0716,335.296433,2026-04-06T13:05:00+05:30,358.143214,STOP_LOSS,130,45562.38,-996.23,27.64,-1023.87,-2.2472,-1.0277,45
WORST,10,equity,SBIN_NS,2026-04-02,OPEN_EQUALS_HIGH,SHORT,2026-04-02T09:15:00+05:30,1001.0,1002.0,986.25,987.0,0.0,-1.4715,2026-04-02T10:00:00+05:30,982.299988,2026-04-02T10:05:00+05:30,981.953594,1001.2002,943.460383,2026-04-02T13:35:00+05:30,1001.40044,STOP_LOSS,51,50079.63,-991.79,30.35,-1022.13,-2.041,-1.0306,43
