rank_type,rank,target_level,market,instrument,session_date,signal,direction,signal_time,entry_time,pine_entry_price,entry_price,stop_price,target_price,tp1,tp2,tp3,tp4,tp5,atr,risk_per_unit_reference,ema_fast,ema_slow,vwap,rsi,macd,macd_signal,adx,volume,volume_sma,bull_score_pct,bear_score_pct,bias,quantity,notional,position_risk_amount,max_target_hit,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
BEST,1,3,commodities,CLF,2026-04-09,SELL,SHORT,2026-04-09T11:45:00-04:00,2026-04-09T11:50:00-04:00,99.629997,99.620071,100.888035,95.855884,98.37196,97.113922,95.855884,94.597846,93.339809,0.838692,1.258038,100.631546,100.691839,100.883093,43.0709,0.293352,0.750767,37.2903,4809.0,4133.0,0.0,100.0,STRONG BEAR,776,77305.18,999.6,3,22,2026-04-09T13:35:00-04:00,95.875055,TP3,2906.13,45.51,2860.62,3.7004,2.8618
BEST,2,3,commodities,CLF,2026-04-13,SELL,SHORT,2026-04-13T12:30:00-04:00,2026-04-13T12:35:00-04:00,100.949997,100.939807,101.826072,98.321772,100.073922,99.197847,98.321772,97.445696,96.569621,0.58405,0.876075,101.997894,102.10973,102.071646,35.9965,0.100514,0.383171,20.7873,5851.0,2415.65,0.0,85.71,STRONG BEAR,990,99930.41,897.56,3,27,2026-04-13T14:45:00-04:00,98.341436,TP3,2572.39,59.19,2513.2,2.515,2.8
BEST,3,3,commodities,SIF,2026-03-31,BUY,LONG,2026-03-31T09:15:00-04:00,2026-03-31T09:20:00-04:00,73.160004,73.214637,72.515849,75.092469,73.804159,74.448314,75.092469,75.736623,76.380778,0.429437,0.644155,70.658555,70.515577,73.211667,81.4363,0.044475,-0.127671,34.2927,81.0,96.9,71.43,14.29,STRONG BULL,1365,99937.98,973.64,3,41,2026-03-31T12:40:00-04:00,75.07745,TP3,2542.74,60.73,2482.01,2.4836,2.5492
BEST,4,3,commodities,CLF,2026-04-07,SELL,SHORT,2026-04-07T11:50:00-04:00,2026-04-07T11:55:00-04:00,115.330002,115.306936,116.253439,112.559691,114.406565,113.483128,112.559691,111.636254,110.712817,0.615625,0.923437,115.9684,116.000057,116.232336,44.4894,0.161403,0.405659,21.2035,2041.0,2828.75,0.0,71.43,STRONG BEAR,867,99971.11,840.78,3,31,2026-04-07T14:25:00-04:00,112.582203,TP3,2362.34,59.27,2303.07,2.3037,2.7392
BEST,5,3,commodities,CLF,2026-04-24,SELL,SHORT,2026-04-24T11:35:00-04:00,2026-04-24T11:40:00-04:00,94.860001,94.861021,95.530252,92.849246,94.189749,93.519498,92.849246,92.178995,91.508743,0.446834,0.670252,95.237197,95.280187,95.190481,40.9099,-0.05983,-0.071921,14.407,1895.0,2114.0,14.29,57.14,STRONG BEAR,1054,99983.52,725.51,3,2,2026-04-24T11:45:00-04:00,92.867816,TP3,2100.84,59.36,2041.48,2.0418,2.8139
BEST,6,3,equity,INFY_NS,2026-04-22,SELL,SHORT,2026-04-22T09:15:00+05:30,2026-04-22T09:20:00+05:30,1280.0,1279.544089,1288.013414,1255.959758,1271.986586,1263.973172,1255.959758,1247.946344,1239.93293,5.342276,8.013414,1306.190779,1309.70622,1282.93335,16.9364,-2.930896,-1.358425,28.4615,0.0,203195.4,0.0,85.71,STRONG BEAR,78,99804.44,680.7,3,37,2026-04-22T12:20:00+05:30,1256.21095,TP3,1819.98,59.34,1760.65,1.7641,2.5865
BEST,7,3,commodities,CLF,2026-04-17,BUY,LONG,2026-04-17T13:00:00-04:00,2026-04-17T13:05:00-04:00,81.730003,81.736345,81.056677,83.749983,82.40333,83.076657,83.749983,84.42331,85.096637,0.448884,0.673327,81.435738,81.396158,81.041983,53.0828,-0.118287,-0.262443,15.4872,2870.0,2435.25,85.71,0.0,STRONG BULL,1223,99963.55,851.06,2,28,2026-04-17T15:20:00-04:00,83.213357,SESSION_END,1806.39,60.52,1745.87,1.7465,2.0514
BEST,8,3,commodities,CLF,2026-04-10,SELL,SHORT,2026-04-10T12:45:00-04:00,2026-04-10T12:50:00-04:00,98.519997,98.4903,99.118614,96.724146,97.92138,97.322763,96.724146,96.125528,95.526911,0.399078,0.598617,98.736371,98.753015,98.566556,46.055,0.046559,0.13208,18.3202,1987.0,2322.2,0.0,71.43,STRONG BEAR,1015,99967.65,657.86,3,19,2026-04-10T14:20:00-04:00,96.74349,TP3,1773.01,59.45,1713.56,1.7141,2.6048
BEST,9,3,commodities,CLF,2026-04-23,BUY,LONG,2026-04-23T11:25:00-04:00,2026-04-23T11:30:00-04:00,93.660004,93.688732,93.107856,95.316446,94.212151,94.764299,95.316446,95.868594,96.420742,0.368098,0.552148,93.504235,93.494517,93.712974,54.6017,0.020919,0.020763,13.2013,1494.0,1892.7,57.14,14.29,STRONG BULL,1067,99965.88,639.66,3,19,2026-04-23T13:00:00-04:00,95.297383,TP3,1716.43,60.49,1655.94,1.6565,2.5888
BEST,10,3,equity,RELIANCE_NS,2026-04-06,SELL,SHORT,2026-04-06T09:15:00+05:30,2026-04-06T09:20:00+05:30,1338.699951,1339.132144,1346.188166,1316.235306,1331.211736,1323.723521,1316.235306,1308.747091,1301.258875,4.992143,7.488215,1348.556571,1348.740312,1343.366659,36.0523,0.522914,1.573292,17.2707,0.0,543636.35,0.0,71.43,STRONG BEAR,74,99095.78,542.07,3,6,2026-04-06T09:45:00+05:30,1316.498553,TP3,1674.89,58.96,1615.93,1.6307,2.981
WORST,1,3,commodities,CLF,2026-04-24,SELL,SHORT,2026-04-24T09:15:00-04:00,2026-04-24T09:20:00-04:00,94.669998,94.681057,95.609772,91.850676,93.730224,92.79045,91.850676,90.910903,89.971129,0.626516,0.939774,95.925928,95.973522,94.87,36.6801,0.066249,0.213125,19.8737,2268.0,3347.95,0.0,71.43,STRONG BEAR,1055,99888.52,999.97,0,22,2026-04-24T11:05:00-04:00,95.628894,STOP_LOSS,-999.97,60.23,-1060.2,-1.0614,-1.0602
WORST,2,3,commodities,CLF,2026-04-08,SELL,SHORT,2026-04-08T14:00:00-04:00,2026-04-08T14:05:00-04:00,94.360001,94.291136,95.257182,91.668455,93.462819,92.565637,91.668455,90.771274,89.874092,0.598121,0.897182,95.05744,95.150217,94.644368,39.5555,-0.206495,-0.262584,17.2764,4967.0,2746.65,14.29,71.43,STRONG BEAR,1015,95705.5,999.87,0,4,2026-04-08T14:20:00-04:00,95.276234,STOP_LOSS,-999.87,57.72,-1057.6,-1.1051,-1.0577
WORST,3,3,commodities,CLF,2026-03-31,SELL,SHORT,2026-03-31T12:40:00-04:00,2026-03-31T12:45:00-04:00,101.5,101.509693,102.617006,98.148981,100.382994,99.265987,98.148981,97.031975,95.914968,0.744671,1.117006,103.74779,103.946002,103.281078,25.889,-0.037357,0.231848,22.6793,27139.0,4135.35,0.0,85.71,STRONG BEAR,886,89937.59,999.26,0,1,2026-03-31T12:45:00-04:00,102.63753,STOP_LOSS,-999.26,54.26,-1053.53,-1.1714,-1.0543
WORST,4,3,commodities,CLF,2026-04-13,BUY,LONG,2026-04-13T09:15:00-04:00,2026-04-13T09:20:00-04:00,103.589996,103.600718,102.142239,107.933267,105.037753,106.48551,107.933267,109.381025,110.828782,0.965171,1.447757,97.596425,97.314625,103.589999,82.8133,0.005542,-0.461402,41.2565,1431.0,2922.65,71.43,14.29,STRONG BULL,676,70034.09,999.74,0,6,2026-04-13T09:45:00-04:00,102.121811,STOP_LOSS,-999.74,41.72,-1041.46,-1.4871,-1.0417
WORST,5,3,commodities,CLF,2026-04-06,SELL,SHORT,2026-04-06T10:20:00-04:00,2026-04-06T10:25:00-04:00,110.949997,110.927807,111.92345,108.029639,109.976544,109.003092,108.029639,107.056186,106.082734,0.648968,0.973453,111.72238,111.792343,112.10538,39.9699,0.040678,0.205255,16.6209,2283.0,1823.6,14.29,71.43,STRONG BEAR,901,99945.95,917.24,0,3,2026-04-06T10:35:00-04:00,111.945834,STOP_LOSS,-917.24,60.24,-977.49,-0.978,-1.0657
WORST,6,3,commodities,CLF,2026-04-08,BUY,LONG,2026-04-08T13:55:00-04:00,2026-04-08T14:00:00-04:00,95.32,95.32906,94.474958,97.855124,96.165041,97.010083,97.855124,98.700166,99.545207,0.563361,0.845042,95.231799,95.229239,94.643502,49.08,-0.150098,-0.276607,17.3417,1930.0,2580.1,42.86,28.57,MILD BULL,1048,99904.85,914.9,0,1,2026-04-08T14:00:00-04:00,94.456063,STOP_LOSS,-914.9,59.67,-974.57,-0.9755,-1.0652
WORST,7,3,commodities,CLF,2026-04-28,BUY,LONG,2026-04-28T09:15:00-04:00,2026-04-28T09:20:00-04:00,100.080002,100.110014,99.270852,102.507452,100.889152,101.698302,102.507452,103.316602,104.125753,0.539433,0.80915,97.15352,96.82694,100.160001,82.4062,0.235019,0.029464,16.397,1996.0,1151.35,57.14,28.57,MILD BULL,998,99909.79,857.3,0,2,2026-04-28T09:25:00-04:00,99.250997,STOP_LOSS,-857.3,59.69,-916.99,-0.9178,-1.0696
WORST,8,3,commodities,CLF,2026-04-07,BUY,LONG,2026-04-07T14:55:00-04:00,2026-04-07T15:00:00-04:00,115.120003,115.123018,114.204573,117.866293,116.035433,116.950863,117.866293,118.781724,119.697154,0.610287,0.91543,114.285081,114.232307,115.065125,59.6118,-0.099177,-0.327968,26.6474,1964.0,3382.7,85.71,0.0,STRONG BULL,868,99926.78,817.04,0,4,2026-04-07T15:15:00-04:00,114.181732,STOP_LOSS,-817.04,59.71,-876.75,-0.8774,-1.0731
WORST,9,3,commodities,CLF,2026-04-10,SELL,SHORT,2026-04-10T10:20:00-04:00,2026-04-10T10:25:00-04:00,97.57,97.550486,98.316755,95.329732,96.823244,96.076488,95.329732,94.582977,93.836221,0.497837,0.746756,98.060367,98.110425,98.223927,41.8138,0.018069,0.132344,16.6204,1474.0,1576.1,0.0,71.43,STRONG BEAR,1025,99989.25,805.58,0,4,2026-04-10T10:40:00-04:00,98.336419,STOP_LOSS,-805.58,60.24,-865.82,-0.8659,-1.0748
WORST,10,3,commodities,CLF,2026-03-31,BUY,LONG,2026-03-31T10:45:00-04:00,2026-03-31T10:50:00-04:00,104.019997,104.040801,103.237874,106.366363,104.802119,105.584241,106.366363,107.148485,107.930608,0.521415,0.782122,103.076168,103.016785,102.914606,63.6698,-0.001649,-0.11519,16.3498,4133.0,2767.6,85.71,0.0,STRONG BULL,961,99983.21,791.45,1,22,2026-03-31T12:35:00-04:00,103.217227,STOP_LOSS,-791.45,59.75,-851.21,-0.8514,-1.0755
