rank_type,rank,target_level,market,instrument,session_date,signal,original_signal,direction,signal_time,entry_time,pine_entry_price,entry_price,stop_price,target_price,tp1,tp2,tp3,tp4,tp5,atr,risk_per_unit_reference,ema_fast,ema_slow,vwap,rsi,macd,macd_signal,adx,volume,volume_sma,bull_score_pct,bear_score_pct,bias,quantity,notional,position_risk_amount,slippage_points,max_target_hit,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
BEST,1,1,commodities,CLF,2026-04-01,SELL,SELL,SHORT,2026-04-01T09:15:00-04:00,2026-04-01T09:20:00-04:00,100.300003,100.32,101.373429,99.226577,99.226577,98.153152,97.079726,96.0063,94.932875,0.715617,1.073426,101.786871,101.924898,100.34667,34.6908,-0.142436,-0.091839,26.3343,2997.0,3181.75,0.0,85.71,STRONG BEAR,9492,952237.44,9999.15,0.0,1,4,2026-04-01T09:35:00-04:00,99.226577,TP1,10378.77,0.0,10378.77,1.0899,1.038
BEST,2,1,commodities,CLF,2026-04-22,BUY,BUY,LONG,2026-04-22T09:20:00-04:00,2026-04-22T09:25:00-04:00,91.110001,91.089996,89.891324,92.328677,92.328677,93.547353,94.766029,95.984705,97.203382,0.812451,1.218676,89.607165,89.5184,91.130642,65.4128,-0.004413,-0.180805,30.6848,4283.0,3932.3,85.71,14.29,STRONG BULL,8342,759872.75,9999.32,0.0,1,18,2026-04-22T10:50:00-04:00,92.328677,TP1,10333.08,0.0,10333.08,1.3598,1.0334
BEST,3,1,commodities,CLF,2026-04-09,SELL,SELL,SHORT,2026-04-09T11:45:00-04:00,2026-04-09T11:50:00-04:00,99.629997,99.639999,100.888035,98.37196,98.37196,97.113922,95.855884,94.597846,93.339809,0.838692,1.258038,100.631546,100.691839,100.883093,43.0709,0.293352,0.750767,37.2903,4809.0,4133.0,0.0,100.0,STRONG BEAR,8012,798315.68,9999.26,0.0,1,3,2026-04-09T12:00:00-04:00,98.37196,TP1,10159.53,0.0,10159.53,1.2726,1.016
BEST,4,1,commodities,CLF,2026-04-09,BUY,BUY,LONG,2026-04-09T14:25:00-04:00,2026-04-09T14:30:00-04:00,97.889999,97.889999,96.776205,99.003794,99.003794,100.117588,101.231383,102.345177,103.458972,0.74253,1.113794,97.203364,97.189252,98.886419,56.2549,-0.200459,-0.492192,28.2785,14390.0,4312.55,71.43,28.57,STRONG BULL,8978,878856.41,9999.65,0.0,1,10,2026-04-09T15:15:00-04:00,99.003794,TP1,9999.65,0.0,9999.65,1.1378,1.0
BEST,5,1,commodities,CLF,2026-04-08,BUY,BUY,LONG,2026-04-08T14:55:00-04:00,2026-04-08T15:00:00-04:00,95.43,95.43,94.513286,96.346714,96.346714,97.263428,98.180142,99.096856,100.013571,0.611143,0.916714,94.960845,94.938173,94.647143,54.3056,-0.081643,-0.193891,13.3118,1814.0,4291.85,71.43,0.0,STRONG BULL,10478,999915.54,9605.33,0.0,1,5,2026-04-08T15:20:00-04:00,96.346714,TP1,9605.33,0.0,9605.33,0.9606,1.0
BEST,6,1,commodities,CLF,2026-04-01,BUY,BUY,LONG,2026-04-01T11:30:00-04:00,2026-04-01T11:35:00-04:00,99.790001,99.779999,98.914298,100.665704,100.665704,101.541408,102.417111,103.292814,104.168517,0.583802,0.875703,99.48776,99.48546,99.285569,52.6222,-0.175047,-0.39614,31.9326,2516.0,2742.85,85.71,0.0,STRONG BULL,10022,999995.15,8676.06,0.0,1,8,2026-04-01T12:10:00-04:00,100.665704,TP1,8876.54,0.0,8876.54,0.8877,1.0231
BEST,7,1,commodities,CLF,2026-04-13,SELL,SELL,SHORT,2026-04-13T12:30:00-04:00,2026-04-13T12:35:00-04:00,100.949997,100.959999,101.826072,100.073922,100.073922,99.197847,98.321772,97.445696,96.569621,0.58405,0.876075,101.997894,102.10973,102.071646,35.9965,0.100514,0.383171,20.7873,5851.0,2415.65,0.0,85.71,STRONG BEAR,9904,999907.83,8577.59,0.0,1,1,2026-04-13T12:35:00-04:00,100.073922,TP1,8775.71,0.0,8775.71,0.8777,1.0231
BEST,8,1,commodities,CLF,2026-04-17,BUY,BUY,LONG,2026-04-17T13:00:00-04:00,2026-04-17T13:05:00-04:00,81.730003,81.720001,81.056677,82.40333,82.40333,83.076657,83.749983,84.42331,85.096637,0.448884,0.673327,81.435738,81.396158,81.041983,53.0828,-0.118287,-0.262443,15.4872,2870.0,2435.25,85.71,0.0,STRONG BULL,12236,999925.93,8116.44,0.0,1,4,2026-04-17T13:20:00-04:00,82.40333,TP1,8361.21,0.0,8361.21,0.8362,1.0302
BEST,9,1,commodities,SIF,2026-03-31,BUY,BUY,LONG,2026-03-31T09:15:00-04:00,2026-03-31T09:20:00-04:00,73.160004,73.199997,72.515849,73.804159,73.804159,74.448314,75.092469,75.736623,76.380778,0.429437,0.644155,70.658555,70.515577,73.211667,81.4363,0.044475,-0.127671,34.2927,81.0,96.9,71.43,14.29,STRONG BULL,13661,999985.16,9346.15,0.0,1,9,2026-03-31T10:00:00-04:00,73.804159,TP1,8253.45,0.0,8253.45,0.8254,0.8831
BEST,10,1,commodities,CLF,2026-04-07,BUY,BUY,LONG,2026-04-07T09:15:00-04:00,2026-04-07T09:20:00-04:00,115.660004,115.660004,114.731834,116.588173,116.588173,117.516343,118.444512,119.372681,120.300851,0.61878,0.928169,113.236431,112.957491,115.459999,77.1695,0.205234,0.018323,23.2723,1477.0,1857.55,71.43,0.0,STRONG BULL,8646,999996.39,8024.95,0.0,1,10,2026-04-07T10:05:00-04:00,116.588173,TP1,8024.95,0.0,8024.95,0.8025,1.0
WORST,1,1,commodities,CLF,2026-04-13,BUY,BUY,LONG,2026-04-13T09:15:00-04:00,2026-04-13T09:20:00-04:00,103.589996,103.580002,102.142239,105.037753,105.037753,106.48551,107.933267,109.381025,110.828782,0.965171,1.447757,97.596425,97.314625,103.589999,82.8133,0.005542,-0.461402,41.2565,1431.0,2922.65,71.43,14.29,STRONG BULL,6955,720398.91,9999.64,0.0,0,6,2026-04-13T09:45:00-04:00,102.142239,STOP_LOSS,-9999.64,0.0,-9999.64,-1.3881,-1.0
WORST,2,1,commodities,CLF,2026-04-08,SELL,SELL,SHORT,2026-04-08T14:00:00-04:00,2026-04-08T14:05:00-04:00,94.360001,94.309998,95.257182,93.462819,93.462819,92.565637,91.668455,90.771274,89.874092,0.598121,0.897182,95.05744,95.150217,94.644368,39.5555,-0.206495,-0.262584,17.2764,4967.0,2746.65,14.29,71.43,STRONG BEAR,10557,995630.64,9999.43,0.0,0,4,2026-04-08T14:20:00-04:00,95.257182,STOP_LOSS,-9999.43,0.0,-9999.43,-1.0043,-1.0
WORST,3,1,commodities,CLF,2026-03-31,SELL,SELL,SHORT,2026-03-31T12:40:00-04:00,2026-03-31T12:45:00-04:00,101.5,101.529999,102.617006,100.382994,100.382994,99.265987,98.148981,97.031975,95.914968,0.744671,1.117006,103.74779,103.946002,103.281078,25.889,-0.037357,0.231848,22.6793,27139.0,4135.35,0.0,85.71,STRONG BEAR,9199,933974.46,9999.38,0.0,0,1,2026-03-31T12:45:00-04:00,102.617006,STOP_LOSS,-9999.38,0.0,-9999.38,-1.0706,-1.0
WORST,4,1,commodities,CLF,2026-04-24,SELL,SELL,SHORT,2026-04-24T09:15:00-04:00,2026-04-24T09:20:00-04:00,94.669998,94.699997,95.609772,93.730224,93.730224,92.79045,91.850676,90.910903,89.971129,0.626516,0.939774,95.925928,95.973522,94.87,36.6801,0.066249,0.213125,19.8737,2268.0,3347.95,0.0,71.43,STRONG BEAR,10559,999937.27,9606.32,0.0,0,22,2026-04-24T11:05:00-04:00,95.609772,STOP_LOSS,-9606.31,0.0,-9606.31,-0.9607,-1.0
WORST,5,1,commodities,CLF,2026-04-06,SELL,SELL,SHORT,2026-04-06T10:20:00-04:00,2026-04-06T10:25:00-04:00,110.949997,110.949997,111.92345,109.976544,109.976544,109.003092,108.029639,107.056186,106.082734,0.648968,0.973453,111.72238,111.792343,112.10538,39.9699,0.040678,0.205255,16.6209,2283.0,1823.6,14.29,71.43,STRONG BEAR,9013,999992.32,8773.73,0.0,0,3,2026-04-06T10:35:00-04:00,111.92345,STOP_LOSS,-8773.73,0.0,-8773.73,-0.8774,-1.0
WORST,6,1,commodities,CLF,2026-04-08,BUY,BUY,LONG,2026-04-08T13:55:00-04:00,2026-04-08T14:00:00-04:00,95.32,95.309998,94.474958,96.165041,96.165041,97.010083,97.855124,98.700166,99.545207,0.563361,0.845042,95.231799,95.229239,94.643502,49.08,-0.150098,-0.276607,17.3417,1930.0,2580.1,42.86,28.57,MILD BULL,10492,999992.49,8761.23,0.0,0,1,2026-04-08T14:00:00-04:00,94.474958,STOP_LOSS,-8761.24,0.0,-8761.24,-0.8761,-1.0
WORST,7,1,commodities,CLF,2026-04-28,BUY,BUY,LONG,2026-04-28T09:15:00-04:00,2026-04-28T09:20:00-04:00,100.080002,100.089996,99.270852,100.889152,100.889152,101.698302,102.507452,103.316602,104.125753,0.539433,0.80915,97.15352,96.82694,100.160001,82.4062,0.235019,0.029464,16.397,1996.0,1151.35,57.14,28.57,MILD BULL,9991,999999.15,8184.07,0.0,0,2,2026-04-28T09:25:00-04:00,99.270852,STOP_LOSS,-8184.07,0.0,-8184.07,-0.8184,-1.0
WORST,8,1,commodities,CLF,2026-04-07,BUY,BUY,LONG,2026-04-07T14:55:00-04:00,2026-04-07T15:00:00-04:00,115.120003,115.099998,114.204573,116.035433,116.035433,116.950863,117.866293,118.781724,119.697154,0.610287,0.91543,114.285081,114.232307,115.065125,59.6118,-0.099177,-0.327968,26.6474,1964.0,3382.7,85.71,0.0,STRONG BULL,8688,999988.79,7779.46,0.0,0,4,2026-04-07T15:15:00-04:00,114.204573,STOP_LOSS,-7779.46,0.0,-7779.46,-0.778,-1.0
WORST,9,1,commodities,CLF,2026-04-10,SELL,SELL,SHORT,2026-04-10T10:20:00-04:00,2026-04-10T10:25:00-04:00,97.57,97.57,98.316755,96.823244,96.823244,96.076488,95.329732,94.582977,93.836221,0.497837,0.746756,98.060367,98.110425,98.223927,41.8138,0.018069,0.132344,16.6204,1474.0,1576.1,0.0,71.43,STRONG BEAR,10249,999994.93,7653.5,0.0,0,4,2026-04-10T10:40:00-04:00,98.316755,STOP_LOSS,-7653.5,0.0,-7653.5,-0.7654,-1.0
WORST,10,1,commodities,SIF,2026-04-02,SELL,SELL,SHORT,2026-04-02T11:20:00-04:00,2026-04-02T11:25:00-04:00,72.120003,72.110001,72.779901,71.460105,71.460105,70.800207,70.140309,69.480411,68.820513,0.439932,0.659898,72.433235,72.474236,71.749036,42.848,-0.177265,-0.311231,18.7691,420.0,476.7,28.57,42.86,MILD BEAR,13867,999949.38,9289.51,0.0,0,19,2026-04-02T12:55:00-04:00,72.644997,OPPOSITE_SIGNAL,-7418.78,0.0,-7418.78,-0.7419,-0.7986
